City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,naze,28.3667,129.4833,302.67,71,68,3.32,JP,1722470839
84,maler kotla,30.5167,75.8833,301.54,94,100,4.71,IN,1722470840
85,bikenibeu village,1.3673,173.1241,304.13,70,20,4.12,KI,1722470840
86,tazovsky,67.4667,78.7,286.46,91,99,4.22,RU,1722470840
87,tiksi,71.6872,128.8694,276.45,74,94,3.09,RU,1722470841
88,gargalianoi,37.0667,21.6333,298.9,68,1,2.55,GR,1722470841
89,swan hill,-35.3378,143.5544,283.48,58,3,2.47,AU,1722470841
90,port elizabeth,-33.918,25.5701,282.21,92,0,4.45,ZA,1722470841
91,una,20.8167,71.0333,299.57,89,100,7.32,IN,1722470842
92,santana,-0.0583,-51.1817,299.0,82,44,3.95,BR,1722470842
93,esquel,-42.9,-71.3167,276.71,93,100,2.08,AR,1722470842
94,wamba,8.9333,8.6,295.08,95,100,0.6,NG,1722470842
95,seydi,39.4816,62.9137,301.64,18,0,4.11,TM,1722470842
96,ribeira grande,38.5167,-28.7,295.25,85,62,3.25,PT,1722470843
97,salalah,17.0151,54.0924,297.2,100,100,1.54,OM,1722470843
98,todos santos,23.45,-110.2167,306.1,78,16,2.14,MX,1722470843
99,moussoro,13.6408,16.4901,297.82,83,100,3.76,TD,1722470844
100,sitka,57.0531,-135.33,289.09,72,100,5.14,US,1722470844
101,ushuaia,-54.8,-68.3,273.95,97,100,3.38,AR,1722470844
102,kingaroy,-26.5333,151.8333,287.5,42,0,4.05,AU,1722470844
103,borovichi,58.3878,33.9155,287.26,97,100,2.92,RU,1722470845
104,muroto-misakicho,33.2833,134.15,301.49,80,26,2.29,JP,1722470845
105,keflavik,64.0049,-22.5624,283.39,93,75,3.09,IS,1722470845
106,atafu village,-8.5421,-172.5159,300.77,75,100,9.85,TK,1722470845
107,thompson,55.7435,-97.8558,301.99,27,18,2.9,CA,1722470846
108,talnakh,69.4865,88.3972,294.26,43,36,0.79,RU,1722470846
109,mount gambier,-37.8333,140.7667,282.44,70,26,2.96,AU,1722470846
110,yonggwang-up,40.0183,127.4547,301.67,73,0,1.7,KP,1722470846
111,wailua homesteads,22.0669,-159.378,301.59,72,0,5.66,US,1722470847
112,darab,28.7519,54.5444,304.34,33,33,1.41,IR,1722470847
113,ghadamis,30.1337,9.5007,302.9,23,0,4.55,LY,1722470847
114,cambria,35.5641,-121.0808,304.57,69,32,3.64,US,1722470847
115,holualoa,19.6228,-155.9522,297.9,73,54,0.89,US,1722470848
116,fort bragg,35.139,-79.006,304.06,68,40,3.6,US,1722470848
117,nyuzen,36.9333,137.5,303.41,77,92,1.34,JP,1722470848
118,la penita de jaltomba,21.0333,-105.25,301.42,78,82,1.62,MX,1722470848
119,enewetak,11.3474,162.3373,302.08,75,72,6.18,MH,1722470849
120,ola,59.5833,151.2833,285.57,83,100,2.4,RU,1722470849
121,tacuarembo,-31.7333,-55.9833,289.24,92,100,4.47,UY,1722470849
122,klyuchi,52.2667,79.1667,294.61,61,3,2.75,RU,1722470849
123,belousovka,50.1339,82.5239,284.62,94,0,1.0,KZ,1722470850
124,mejit,10.2753,170.8646,301.28,80,15,5.61,MH,1722470850
125,anori,-3.7728,-61.6442,303.84,42,96,1.28,BR,1722470850
126,nookat,40.2671,72.6207,294.57,32,1,3.42,KG,1722470850
127,soverato marina,38.685,16.5499,299.9,42,0,3.67,IT,1722470851
128,dubois,38.3464,-86.8897,302.12,83,75,5.14,US,1722470851
129,les cayes,18.2,-73.75,300.71,80,65,1.98,HT,1722470851
130,mashhad,36.297,59.6062,298.23,47,0,2.06,IR,1722470852
131,kristiansund,63.1115,7.732,287.18,83,75,3.6,NO,1722470852
132,constantia,44.1833,28.65,292.53,68,0,4.31,RO,1722470852
133,mukalla,14.5425,49.1242,302.22,68,100,2.55,YE,1722470853
134,puerto baquerizo moreno,-0.9,-89.6,293.17,91,73,5.98,EC,1722470853
135,port alfred,-33.5906,26.891,284.47,76,0,6.1,ZA,1722470853
136,zeya,53.75,127.2667,292.53,49,0,3.72,RU,1722470853
137,saint-philippe,-21.3585,55.7679,292.92,76,4,0.81,RE,1722470854
138,dalandzadgad,43.5708,104.425,297.88,41,100,1.76,MN,1722470854
139,margaret river,-33.95,115.0667,283.56,67,96,9.46,AU,1722470854
140,melfort,52.8667,-104.6177,300.79,44,0,3.69,CA,1722470854
141,petropavlovsk-kamchatsky,53.0452,158.6483,287.48,100,75,2.0,RU,1722470855
142,dudinka,69.4058,86.1778,293.25,53,8,2.54,RU,1722470855
143,aasiaat,68.7098,-52.8699,275.79,90,58,1.54,GL,1722470856
144,kidal,18.4411,1.4078,300.81,58,93,6.25,ML,1722470856
145,hithadhoo,-0.6,73.0833,301.77,77,87,4.8,MV,1722470856
146,tara,56.8944,74.371,289.68,97,98,2.41,RU,1722470856
147,canning,22.3189,88.6714,301.16,95,100,5.9,IN,1722470857
148,tynda,55.1667,124.7167,287.34,44,0,5.63,RU,1722470857
149,laguna,38.421,-121.4238,311.1,32,0,4.63,US,1722470857
150,pelabuhanratu,-6.9875,106.5514,298.14,86,44,2.08,ID,1722470857
151,pangoa,-12.1167,-73.0,294.02,87,40,1.49,PE,1722470858
152,mata-utu,-13.2816,-176.1745,299.31,69,100,7.24,WF,1722470858
153,puerto ayora,-0.7393,-90.3518,293.75,91,77,4.52,EC,1722470858
154,labrador city,52.9463,-66.9114,289.55,93,100,1.79,CA,1722470858
155,fort wellington,6.4,-57.6,300.47,79,99,4.86,GY,1722470859
156,kitgum,3.2783,32.8867,291.46,98,95,1.42,UG,1722470859
157,kailua-kona,19.6406,-155.9956,299.97,75,62,1.79,US,1722470648
158,ascension,30.2169,-90.9001,307.62,64,99,2.53,US,1722470859
159,al kharijah,25.4514,30.5464,304.17,22,77,2.63,EG,1722470860
160,manta,-0.95,-80.7333,298.03,78,75,6.17,EC,1722470860
161,mil'kovo,55.6078,37.7956,288.42,91,44,3.77,RU,1722470860
162,vylkove,45.4021,29.586,292.65,63,0,2.73,UA,1722470861
163,perelyub,51.8667,50.3667,291.64,57,67,3.33,RU,1722470861
164,qarazhal,48.0078,70.7903,297.27,45,0,4.46,KZ,1722470861
165,ulsteinvik,62.3432,5.8487,287.46,80,24,1.79,NO,1722470861
